(10, 8): 0.3848, 0.1002, 2.1967, 0.2899
(10, 9): 0.3386, 0.1003, 2.3764, 0.3460
(10, 10): 0.3533, 0.1005, 2.2619, 0.3112
(10, 11): 0.6028, 0.1002, 1.4649, 0.3551
(10, 12): 0.6028, 0.1002, 1.4649, 0.3551
(10, 13): 0.4747, 0.1006, 1.8665, 0.3446
(10, 14): 0.5004, 0.1014, 1.8559, 0.3062
(10, 15): 0.5004, 0.1014, 1.8559, 0.3062
(10, 16): 0.4645, 0.1000, 2.0720, 0.3525
(10, 17): 0.3739, 0.1002, 2.5561, 0.3221
(10, 18): 0.4550, 0.1020, 2.1872, 0.3159
(10, 19): 0.4550, 0.1020, 2.1872, 0.3159
(10, 20): 0.5176, 0.1000, 1.9339, 0.2670
(10, 21): 0.4395, 0.1016, 2.1341, 0.2877
(10, 22): 0.4395, 0.1016, 2.1341, 0.2877
(10, 23): 0.4858, 0.1006, 1.9511, 0.3047
(10, 24): 0.6308, 0.1002, 1.4922, 0.3120
(10, 25): 0.6308, 0.1002, 1.4922, 0.3120
(10, 26): 0.5734, 0.1006, 1.6548, 0.3185
(10, 27): 0.5185, 0.1001, 1.7346, 0.2870
(10, 28): 0.4753, 0.1007, 1.9515, 0.2754
(10, 29): 0.4753, 0.1007, 1.9515, 0.2754
(10, 30): 0.5199, 0.1006, 1.9159, 0.3355
(10, 31): 0.6231, 0.1004, 1.6426, 0.2986
(10, 32): 0.6231, 0.1004, 1.6426, 0.2986
(10, 33): 0.4550, 0.1007, 2.1448, 0.3221
(10, 34): 0.5510, 0.1001, 1.8789, 0.3522
(10, 35): 0.4539, 0.1003, 1.9746, 0.3272
(10, 36): 0.4539, 0.1003, 1.9746, 0.3272
(10, 37): 0.3819, 0.1014, 2.2412, 0.3181
(11, 1): 0.3864, 0.1012, 2.0811, 0.3261
(11, 2): 0.3864, 0.1012, 2.0811, 0.3261
(11, 3): 0.3558, 0.1005, 2.2382, 0.3815
(11, 4): 0.3832, 0.1001, 2.1429, 0.2953
(11, 5): 0.3832, 0.1001, 2.1429, 0.2953
(11, 6): 0.3510, 0.1007, 2.2256, 0.2656
(11, 7): 0.3588, 0.1017, 2.2964, 0.3043
(11, 8): 0.3588, 0.1017, 2.2964, 0.3043
(11, 9): 0.4274, 0.1007, 1.9224, 0.3076
(11, 10): 0.3761, 0.1007, 2.0328, 0.2815
