I,J,Region_ID,Latitude,Longitude
10,5,167,51.41428571428572,3.8117647058823527
10,6,168,51.41428571428572,4.0397058823529415
10,7,169,51.41428571428572,4.267647058823529
10,8,170,51.41428571428572,4.495588235294118
10,9,171,51.41428571428572,4.723529411764706
10,10,172,51.41428571428572,4.951470588235294
10,11,173,51.41428571428572,5.179411764705883
10,12,174,51.41428571428572,5.407352941176471
10,13,175,51.41428571428572,5.635294117647058
10,14,176,51.41428571428572,5.863235294117647
10,15,177,51.41428571428572,6.091176470588236
10,16,178,51.41428571428572,6.319117647058824
10,17,179,51.41428571428572,6.547058823529412
10,18,180,51.41428571428572,6.775
11,1,181,51.50476190476191,2.9
11,2,182,51.50476190476191,3.1279411764705882
11,3,183,51.50476190476191,3.3558823529411765
11,4,184,51.50476190476191,3.583823529411765
11,5,185,51.50476190476191,3.8117647058823527
11,6,186,51.50476190476191,4.0397058823529415
11,7,187,51.50476190476191,4.267647058823529
11,8,188,51.50476190476191,4.495588235294118
11,9,189,51.50476190476191,4.723529411764706
11,10,190,51.50476190476191,4.951470588235294
11,11,191,51.50476190476191,5.179411764705883
11,12,192,51.50476190476191,5.407352941176471
11,13,193,51.50476190476191,5.635294117647058
11,14,194,51.50476190476191,5.863235294117647
11,15,195,51.50476190476191,6.091176470588236
11,16,196,51.50476190476191,6.319117647058824
11,17,197,51.50476190476191,6.547058823529412
11,18,198,51.50476190476191,6.775
12,1,199,51.595238095238095,2.9
12,2,200,51.595238095238095,3.1279411764705882
12,3,201,51.595238095238095,3.3558823529411765
12,4,202,51.595238095238095,3.583823529411765
12,5,203,51.595238095238095,3.8117647058823527
12,6,204,51.595238095238095,4.0397058823529415
12,7,205,51.595238095238095,4.267647058823529
12,8,206,51.595238095238095,4.495588235294118
12,9,207,51.595238095238095,4.723529411764706
12,10,208,51.595238095238095,4.951470588235294
12,11,209,51.595238095238095,5.179411764705883
12,12,210,51.595238095238095,5.407352941176471
12,13,211,51.595238095238095,5.635294117647058
12,14,212,51.595238095238095,5.863235294117647
12,15,213,51.595238095238095,6.091176470588236
12,16,214,51.595238095238095,6.319117647058824
12,17,215,51.595238095238095,6.547058823529412
12,18,216,51.595238095238095,6.775
13,1,217,51.68571428571428,2.9
13,2,218,51.68571428571428,3.1279411764705882
13,3,219,51.68571428571428,3.3558823529411765
13,4,220,51.68571428571428,3.583823529411765
13,5,221,51.68571428571428,3.8117647058823527
13,6,222,51.68571428571428,4.0397058823529415
13,7,223,51.68571428571428,4.267647058823529
13,8,224,51.68571428571428,4.495588235294118
13,9,225,51.68571428571428,4.723529411764706
13,10,226,51.68571428571428,4.951470588235294
13,11,227,51.68571428571428,5.179411764705883
13,12,228,51.68571428571428,5.407352941176471
13,13,229,51.68571428571428,5.635294117647058
13,14,230,51.68571428571428,5.863235294117647
13,15,231,51.68571428571428,6.091176470588236
13,16,232,51.68571428571428,6.319117647058824
13,17,233,51.68571428571428,6.547058823529412
13,18,234,51.68571428571428,6.775
14,1,235,51.77619047619048,2.9
14,2,236,51.77619047619048,3.1279411764705882
14,3,237,51.77619047619048,3.3558823529411765
14,4,238,51.77619047619048,3.583823529411765
